"
    
        
        
            Pope Francis
        
    
, and ,Austen Ivereigh",https://m.media-amazon.com/images/I/71JL10E7ZUL._AC_UY218_.jpg,Let Us Dream: The Path to a Better Future,"18,."
"
    
        
        
            Nora Roberts
        
    
",https://m.media-amazon.com/images/I/91vDxc7wJRL._AC_UY218_.jpg,"The Awakening: The Dragon Heart Legacy, Book 1","14,."
"
    
        
        
            Bobby Parrish
        
    
, and ,
    
        
        
            Dessi Parrish
        
    
",https://m.media-amazon.com/images/I/81AerL3iNML._AC_UY218_.jpg,5 Ingredient Semi-Homemade Meals: 50 Easy & Tasty Recipes Using the Best Ingredients from the Grocery Store (Heart Healthy Budget Cooking) (FlavCity),"18,."
"
    
        
        
            Jacy Corral
        
    
, and ,Modern Kid Press",https://m.media-amazon.com/images/I/712GDjvmX3L._AC_UY218_.jpg,The How to Draw Book for Kids: A Simple Step-by-Step Guide to Drawing Cute and Silly Things,"9,."
product_author,product_imglink,product_name,product_price
"Ernest Cline,, ,Wil Wheaton,, et al.,
    
        
        
            Rachel Maddow
        
    
, and ,Michael Yarvitz,
    
        
        
            Dav Pilkey
        
    
,
    
        
        
            Pete Hegseth
        
    
,
    
        
        
            James Patterson
        
    
,
    
        
        
            James Patterson
        
    
,, ,
    
        
        
            Casey Sherman
        
    
,, et al.,
    
        
        
            Steven Rinella
        
    
,
    
        
        
            Joe Scarborough
        
    
,Phil Szostak,
    
        
        
            Josh Clark
        
    
, and ,
    
        
        
            Chuck Bryant
        
    
,
    
        
        
            Kathie Lee Gifford
        
    
, and ,Dolly Parton,
    
        
        
            Piggyback
        
    
,
    
        
        
            Pope Francis
        
    
, and ,Austen Ivereigh,
    
        
        
            Nora Roberts
        
    
,
    
        
        
            Bobby Parrish
        
    
, and ,
    
        
        
            Dessi Parrish
        
    
,
    
        
        
            Jacy Corral
        
    
, and ,Modern Kid Press","https://m.media-amazon.com/images/I/81p9XKirqFL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81LtoDMFyeL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/810Ukmf7bSL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71MMMrCuLmL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41b-dR6aQIL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51OjUs0vkGL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81ofPE0+ZgL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91oKbX5jO-L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71bBDuXUvOL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81jluD5WTbL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51GBOjBo2tL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/719QJrDEcuL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71JL10E7ZUL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91vDxc7wJRL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81AerL3iNML._AC_UY218_.jpg,https://m.media-amazon.com/images/I/712GDjvmX3L._AC_UY218_.jpg","Ready Player Two: A Novel,Bag Man: The Wild Crimes, Audacious Cover-up, and Spectacular Downfall of a Brazen Crook in the White House,Cat Kid Comic Club: From the Creator of Dog Man,Modern Warriors: Real Stories from Real Heroes,Deadly Cross (Alex Cross, 28),The Last Days of John Lennon,The MeatEater Guide to Wilderness Skills and Survival,Saving Freedom: Truman, the Cold War, and the Fight for Western Civilization,Art of Star Wars: The Mandalorian (Season One),Stuff You Should Know: An Incomplete Compendium of Mostly Interesting Things,It’s Never Too Late: Make the Next Act of Your Life the Best Act of Your Life,Cyberpunk 2077: The Complete Official Guide-Collector's Edition,Let Us Dream: The Path to a Better Future,The Awakening: The Dragon Heart Legacy, Book 1,5 Ingredient Semi-Homemade Meals: 50 Easy & Tasty Recipes Using the Best Ingredients from the Grocery Store (Heart Healthy Budget Cooking) (FlavCity),The How to Draw Book for Kids: A Simple Step-by-Step Guide to Drawing Cute and Silly Things","0,.,16,.,8,.,9,.,14,.,20,.,19,.,19,.,25,.,14,.,18,.,25,.,18,.,14,.,18,.,9,."
"Ernest Cline,, ,Wil Wheaton,, et al.",https://m.media-amazon.com/images/I/81p9XKirqFL._AC_UY218_.jpg,Ready Player Two: A Novel,"0,."
"
    
        
        
            Rachel Maddow
        
    
, and ,Michael Yarvitz",https://m.media-amazon.com/images/I/81LtoDMFyeL._AC_UY218_.jpg,"Bag Man: The Wild Crimes, Audacious Cover-up, and Spectacular Downfall of a Brazen Crook in the White House","16,."
"
    
        
        
            Dav Pilkey
        
    
",https://m.media-amazon.com/images/I/810Ukmf7bSL._AC_UY218_.jpg,Cat Kid Comic Club: From the Creator of Dog Man,"8,."
"
    
        
        
            Pete Hegseth
        
    
",https://m.media-amazon.com/images/I/71MMMrCuLmL._AC_UY218_.jpg,Modern Warriors: Real Stories from Real Heroes,"9,."
"
    
        
        
            James Patterson
        
    
",https://m.media-amazon.com/images/I/41b-dR6aQIL._AC_UY218_.jpg,"Deadly Cross (Alex Cross, 28)","14,."
"
    
        
        
            James Patterson
        
    
,, ,
    
        
        
            Casey Sherman
        
    
,, et al.",https://m.media-amazon.com/images/I/51OjUs0vkGL._AC_UY218_.jpg,The Last Days of John Lennon,"20,."
"
    
        
        
            Steven Rinella
        
    
",https://m.media-amazon.com/images/I/81ofPE0+ZgL._AC_UY218_.jpg,The MeatEater Guide to Wilderness Skills and Survival,"19,."
"
    
        
        
            Joe Scarborough
        
    
",https://m.media-amazon.com/images/I/91oKbX5jO-L._AC_UY218_.jpg,"Saving Freedom: Truman, the Cold War, and the Fight for Western Civilization","19,."
Phil Szostak,https://m.media-amazon.com/images/I/71bBDuXUvOL._AC_UY218_.jpg,Art of Star Wars: The Mandalorian (Season One),"25,."
"
    
        
        
            Josh Clark
        
    
, and ,
    
        
        
            Chuck Bryant
        
    
",https://m.media-amazon.com/images/I/81jluD5WTbL._AC_UY218_.jpg,Stuff You Should Know: An Incomplete Compendium of Mostly Interesting Things,"14,."
"
    
        
        
            Kathie Lee Gifford
        
    
, and ,Dolly Parton",https://m.media-amazon.com/images/I/51GBOjBo2tL._AC_UY218_.jpg,It’s Never Too Late: Make the Next Act of Your Life the Best Act of Your Life,"18,."
"
    
        
        
            Piggyback
        
    
",https://m.media-amazon.com/images/I/719QJrDEcuL._AC_UY218_.jpg,Cyberpunk 2077: The Complete Official Guide-Collector's Edition,"25,."
"
    
        
        
            Pope Francis
        
    
, and ,Austen Ivereigh",https://m.media-amazon.com/images/I/71JL10E7ZUL._AC_UY218_.jpg,Let Us Dream: The Path to a Better Future,"18,."
"
    
        
        
            Nora Roberts
        
    
",https://m.media-amazon.com/images/I/91vDxc7wJRL._AC_UY218_.jpg,"The Awakening: The Dragon Heart Legacy, Book 1","14,."
"
    
        
        
            Bobby Parrish
        
    
, and ,
    
        
        
            Dessi Parrish
        
    
",https://m.media-amazon.com/images/I/81AerL3iNML._AC_UY218_.jpg,5 Ingredient Semi-Homemade Meals: 50 Easy & Tasty Recipes Using the Best Ingredients from the Grocery Store (Heart Healthy Budget Cooking) (FlavCity),"18,."
"
    
        
        
            Jacy Corral
        
    
, and ,Modern Kid Press",https://m.media-amazon.com/images/I/712GDjvmX3L._AC_UY218_.jpg,The How to Draw Book for Kids: A Simple Step-by-Step Guide to Drawing Cute and Silly Things,"9,."
product_author,product_imglink,product_name,product_price
"Ernest Cline,, ,Wil Wheaton,, et al.,
    
        
        
            Rachel Maddow
        
    
, and ,Michael Yarvitz,
    
        
        
            Dav Pilkey
        
    
,
    
        
        
            Pete Hegseth
        
    
,
    
        
        
            James Patterson
        
    
,
    
        
        
            James Patterson
        
    
,, ,
    
        
        
            Casey Sherman
        
    
,, et al.,
    
        
        
            Steven Rinella
        
    
,
    
        
        
            Joe Scarborough
        
    
,Phil Szostak,
    
        
        
            Josh Clark
        
    
, and ,
    
        
        
            Chuck Bryant
        
    
,
    
        
        
            Kathie Lee Gifford
        
    
, and ,Dolly Parton,
    
        
        
            Piggyback
        
    
,
    
        
        
            Pope Francis
        
    
, and ,Austen Ivereigh,
    
        
        
            Nora Roberts
        
    
,
    
        
        
            Bobby Parrish
        
    
, and ,
    
        
        
            Dessi Parrish
        
    
,
    
        
        
            Jacy Corral
        
    
, and ,Modern Kid Press","https://m.media-amazon.com/images/I/81p9XKirqFL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81LtoDMFyeL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/810Ukmf7bSL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71MMMrCuLmL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41b-dR6aQIL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51OjUs0vkGL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81ofPE0+ZgL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91oKbX5jO-L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71bBDuXUvOL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81jluD5WTbL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51GBOjBo2tL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/719QJrDEcuL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71JL10E7ZUL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91vDxc7wJRL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81AerL3iNML._AC_UY218_.jpg,https://m.media-amazon.com/images/I/712GDjvmX3L._AC_UY218_.jpg","Ready Player Two: A Novel,Bag Man: The Wild Crimes, Audacious Cover-up, and Spectacular Downfall of a Brazen Crook in the White House,Cat Kid Comic Club: From the Creator of Dog Man,Modern Warriors: Real Stories from Real Heroes,Deadly Cross (Alex Cross, 28),The Last Days of John Lennon,The MeatEater Guide to Wilderness Skills and Survival,Saving Freedom: Truman, the Cold War, and the Fight for Western Civilization,Art of Star Wars: The Mandalorian (Season One),Stuff You Should Know: An Incomplete Compendium of Mostly Interesting Things,It’s Never Too Late: Make the Next Act of Your Life the Best Act of Your Life,Cyberpunk 2077: The Complete Official Guide-Collector's Edition,Let Us Dream: The Path to a Better Future,The Awakening: The Dragon Heart Legacy, Book 1,5 Ingredient Semi-Homemade Meals: 50 Easy & Tasty Recipes Using the Best Ingredients from the Grocery Store (Heart Healthy Budget Cooking) (FlavCity),The How to Draw Book for Kids: A Simple Step-by-Step Guide to Drawing Cute and Silly Things","0,.,16,.,8,.,9,.,14,.,20,.,19,.,19,.,25,.,14,.,18,.,25,.,18,.,14,.,18,.,9,."
"Ernest Cline,, ,Wil Wheaton,, et al.",https://m.media-amazon.com/images/I/81p9XKirqFL._AC_UY218_.jpg,Ready Player Two: A Novel,"0,."
"
    
        
        
            Rachel Maddow
        
    
, and ,Michael Yarvitz",https://m.media-amazon.com/images/I/81LtoDMFyeL._AC_UY218_.jpg,"Bag Man: The Wild Crimes, Audacious Cover-up, and Spectacular Downfall of a Brazen Crook in the White House","16,."
"
    
        
        
            Dav Pilkey
        
    
",https://m.media-amazon.com/images/I/810Ukmf7bSL._AC_UY218_.jpg,Cat Kid Comic Club: From the Creator of Dog Man,"8,."
"
    
        
        
            Pete Hegseth
        
    
",https://m.media-amazon.com/images/I/71MMMrCuLmL._AC_UY218_.jpg,Modern Warriors: Real Stories from Real Heroes,"9,."
"
    
        
        
            James Patterson
        
    
",https://m.media-amazon.com/images/I/41b-dR6aQIL._AC_UY218_.jpg,"Deadly Cross (Alex Cross, 28)","14,."
"
    
        
        
            James Patterson
        
    
,, ,
    
        
        
            Casey Sherman
        
    
,, et al.",https://m.media-amazon.com/images/I/51OjUs0vkGL._AC_UY218_.jpg,The Last Days of John Lennon,"20,."
"
    
        
        
            Steven Rinella
        
    
",https://m.media-amazon.com/images/I/81ofPE0+ZgL._AC_UY218_.jpg,The MeatEater Guide to Wilderness Skills and Survival,"19,."
"
    
        
        
            Joe Scarborough
        
    
",https://m.media-amazon.com/images/I/91oKbX5jO-L._AC_UY218_.jpg,"Saving Freedom: Truman, the Cold War, and the Fight for Western Civilization","19,."
Phil Szostak,https://m.media-amazon.com/images/I/71bBDuXUvOL._AC_UY218_.jpg,Art of Star Wars: The Mandalorian (Season One),"25,."
"
    
        
        
            Josh Clark
        
    
, and ,
    
        
        
            Chuck Bryant
        
    
",https://m.media-amazon.com/images/I/81jluD5WTbL._AC_UY218_.jpg,Stuff You Should Know: An Incomplete Compendium of Mostly Interesting Things,"14,."
"
    
        
        
            Kathie Lee Gifford
        
    
, and ,Dolly Parton",https://m.media-amazon.com/images/I/51GBOjBo2tL._AC_UY218_.jpg,It’s Never Too Late: Make the Next Act of Your Life the Best Act of Your Life,"18,."
"
    
        
        
            Piggyback
        
    
",https://m.media-amazon.com/images/I/719QJrDEcuL._AC_UY218_.jpg,Cyberpunk 2077: The Complete Official Guide-Collector's Edition,"25,."
"
    
        
        
            Pope Francis
        
    
, and ,Austen Ivereigh",https://m.media-amazon.com/images/I/71JL10E7ZUL._AC_UY218_.jpg,Let Us Dream: The Path to a Better Future,"18,."
"
    
        
        
            Nora Roberts
        
    
",https://m.media-amazon.com/images/I/91vDxc7wJRL._AC_UY218_.jpg,"The Awakening: The Dragon Heart Legacy, Book 1","14,."
"
    
        
        
            Bobby Parrish
        
    
, and ,
    
        
        
            Dessi Parrish
        
    
",https://m.media-amazon.com/images/I/81AerL3iNML._AC_UY218_.jpg,5 Ingredient Semi-Homemade Meals: 50 Easy & Tasty Recipes Using the Best Ingredients from the Grocery Store (Heart Healthy Budget Cooking) (FlavCity),"18,."
"
    
        
        
            Jacy Corral
        
    
, and ,Modern Kid Press",https://m.media-amazon.com/images/I/712GDjvmX3L._AC_UY218_.jpg,The How to Draw Book for Kids: A Simple Step-by-Step Guide to Drawing Cute and Silly Things,"9,."
